analyze-counts --verbose=1 --binary=false 'ark:ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- |' exp/mlp/ali_train_pdf.counts 
ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- 
LOG (ali-to-pdf[5.3.57~1-6f9f]:main():ali-to-pdf.cc:68) Converted 4000 alignments to pdf sequences.
LOG (analyze-counts[5.3.57~1-6f9f]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
273	(0.00021035),	1523	
274	(0.00021112),	107	
274	(0.00021112),	660	
275	(0.000211891),	732	
275	(0.000211891),	1084	
276	(0.000212661),	842	
276	(0.000212661),	1182	
276	(0.000212661),	1355	
277	(0.000213432),	33	
277	(0.000213432),	324	
277	(0.000213432),	377	
277	(0.000213432),	480	
277	(0.000213432),	666	
277	(0.000213432),	707	
278	(0.000214202),	418	
279	(0.000214973),	1123	
279	(0.000214973),	1331	
280	(0.000215743),	141	
280	(0.000215743),	255	
280	(0.000215743),	849	
280	(0.000215743),	1585	
281	(0.000216514),	319	
281	(0.000216514),	703	
281	(0.000216514),	1574	
282	(0.000217284),	753	
282	(0.000217284),	767	
282	(0.000217284),	1189	
282	(0.000217284),	1318	
282	(0.000217284),	1449	
283	(0.000218055),	180	
283	(0.000218055),	630	
283	(0.000218055),	1486	
284	(0.000218825),	70	
284	(0.000218825),	600	
284	(0.000218825),	991	
284	(0.000218825),	1171	
284	(0.000218825),	1432	
285	(0.000219596),	384	
285	(0.000219596),	781	
285	(0.000219596),	1126	
285	(0.000219596),	1316	
285	(0.000219596),	1353	
287	(0.000221137),	1412	
287	(0.000221137),	1594	
291	(0.000224219),	238	
291	(0.000224219),	1457	
292	(0.000224989),	434	
292	(0.000224989),	1640	
293	(0.00022576),	589	
293	(0.00022576),	757	
293	(0.00022576),	940	
294	(0.00022653),	1225	
294	(0.00022653),	1306	
295	(0.000227301),	577	
295	(0.000227301),	1200	
296	(0.000228071),	690	
296	(0.000228071),	1373	
297	(0.000228842),	567	
297	(0.000228842),	1333	
297	(0.000228842),	1572	
298	(0.000229612),	277	
298	(0.000229612),	492	
299	(0.000230383),	88	
299	(0.000230383),	388	
299	(0.000230383),	1022	
300	(0.000231153),	495	
300	(0.000231153),	549	
300	(0.000231153),	731	
301	(0.000231924),	147	
303	(0.000233465),	279	
303	(0.000233465),	1284	
305	(0.000235006),	413	
305	(0.000235006),	617	
305	(0.000235006),	684	
305	(0.000235006),	1434	
305	(0.000235006),	1642	
306	(0.000235776),	724	
306	(0.000235776),	1514	
307	(0.000236547),	420	
307	(0.000236547),	1019	
307	(0.000236547),	1652	
308	(0.000237317),	71	
308	(0.000237317),	1526	
309	(0.000238088),	863	
309	(0.000238088),	909	
309	(0.000238088),	1532	
310	(0.000238858),	57	
310	(0.000238858),	952	
310	(0.000238858),	989	
310	(0.000238858),	1589	
311	(0.000239629),	163	
311	(0.000239629),	1259	
311	(0.000239629),	1497	
312	(0.000240399),	84	
312	(0.000240399),	1115	
312	(0.000240399),	1393	
312	(0.000240399),	1559	
313	(0.00024117),	389	
313	(0.00024117),	1248	
313	(0.00024117),	1275	
315	(0.000242711),	1560	
316	(0.000243481),	1496	
317	(0.000244252),	1072	
317	(0.000244252),	1240	
317	(0.000244252),	1444	
318	(0.000245022),	304	
318	(0.000245022),	1230	
318	(0.000245022),	1332	
318	(0.000245022),	1356	
319	(0.000245793),	622	
319	(0.000245793),	912	
319	(0.000245793),	1095	
319	(0.000245793),	1362	
319	(0.000245793),	1590	
320	(0.000246564),	24	
320	(0.000246564),	555	
320	(0.000246564),	695	
321	(0.000247334),	229	
321	(0.000247334),	404	
321	(0.000247334),	1565	
323	(0.000248875),	357	
323	(0.000248875),	878	
323	(0.000248875),	1187	
324	(0.000249646),	298	
325	(0.000250416),	725	
325	(0.000250416),	865	
325	(0.000250416),	1282	
326	(0.000251187),	1528	
326	(0.000251187),	1536	
327	(0.000251957),	1348	
327	(0.000251957),	1385	
328	(0.000252728),	108	
328	(0.000252728),	704	
328	(0.000252728),	750	
328	(0.000252728),	798	
328	(0.000252728),	799	
328	(0.000252728),	1033	
329	(0.000253498),	520	
329	(0.000253498),	689	
329	(0.000253498),	1384	
330	(0.000254269),	128	
330	(0.000254269),	807	
330	(0.000254269),	1180	
330	(0.000254269),	1213	
331	(0.000255039),	1499	
331	(0.000255039),	1596	
332	(0.00025581),	234	
332	(0.00025581),	839	
332	(0.00025581),	1339	
333	(0.00025658),	544	
333	(0.00025658),	1224	
334	(0.000257351),	202	
335	(0.000258121),	27	
335	(0.000258121),	586	
336	(0.000258892),	614	
337	(0.000259662),	775	
337	(0.000259662),	1289	
337	(0.000259662),	1628	
338	(0.000260433),	1265	
338	(0.000260433),	1621	
338	(0.000260433),	1648	
339	(0.000261203),	1413	
339	(0.000261203),	1592	
340	(0.000261974),	548	
340	(0.000261974),	1231	
340	(0.000261974),	1546	
341	(0.000262744),	633	
341	(0.000262744),	822	
341	(0.000262744),	1158	
342	(0.000263515),	1206	
343	(0.000264285),	1382	
343	(0.000264285),	1569	
344	(0.000265056),	37	
344	(0.000265056),	501	
344	(0.000265056),	648	
344	(0.000265056),	988	
344	(0.000265056),	1144	
345	(0.000265826),	5	
345	(0.000265826),	199	
345	(0.000265826),	222	
346	(0.000266597),	16	
346	(0.000266597),	148	
346	(0.000266597),	240	
346	(0.000266597),	1108	
346	(0.000266597),	1109	
347	(0.000267367),	92	
347	(0.000267367),	245	
347	(0.000267367),	929	
347	(0.000267367),	1110	
348	(0.000268138),	380	
348	(0.000268138),	410	
348	(0.000268138),	1280	
349	(0.000268908),	295	
349	(0.000268908),	580	
349	(0.000268908),	646	
350	(0.000269679),	132	
351	(0.000270449),	1524	
352	(0.00027122),	584	
352	(0.00027122),	681	
352	(0.00027122),	1219	
353	(0.00027199),	56	
353	(0.00027199),	881	
354	(0.000272761),	1183	
354	(0.000272761),	1520	
355	(0.000273531),	150	
355	(0.000273531),	574	
355	(0.000273531),	1320	
355	(0.000273531),	1487	
355	(0.000273531),	1620	
356	(0.000274302),	560	
356	(0.000274302),	1024	
356	(0.000274302),	1119	
357	(0.000275072),	1010	
357	(0.000275072),	1296	
358	(0.000275843),	595	
359	(0.000276613),	525	
360	(0.000277384),	100	
360	(0.000277384),	553	
361	(0.000278154),	620	
361	(0.000278154),	812	
361	(0.000278154),	1365	
362	(0.000278925),	888	
362	(0.000278925),	1136	
363	(0.000279695),	1050	
365	(0.000281237),	361	
365	(0.000281237),	517	
365	(0.000281237),	1255	
366	(0.000282007),	129	
366	(0.000282007),	565	
366	(0.000282007),	721	
368	(0.000283548),	439	
368	(0.000283548),	1064	
370	(0.000285089),	594	
370	(0.000285089),	1194	
371	(0.00028586),	1159	
372	(0.00028663),	1278	
375	(0.000288942),	257	
375	(0.000288942),	1013	
376	(0.000289712),	1065	
377	(0.000290483),	659	
379	(0.000292024),	1005	
380	(0.000292794),	333	
380	(0.000292794),	834	
381	(0.000293565),	201	
383	(0.000295106),	1056	
383	(0.000295106),	1077	
384	(0.000295876),	65	
386	(0.000297417),	122	
387	(0.000298188),	105	
387	(0.000298188),	557	
388	(0.000298958),	444	
388	(0.000298958),	685	
388	(0.000298958),	693	
388	(0.000298958),	1488	
389	(0.000299729),	1537	
390	(0.000300499),	1048	
391	(0.00030127),	278	
391	(0.00030127),	985	
392	(0.00030204),	378	
393	(0.000302811),	1297	
393	(0.000302811),	1411	
393	(0.000302811),	1539	
394	(0.000303581),	738	
395	(0.000304352),	1009	
395	(0.000304352),	1321	
395	(0.000304352),	1458	
396	(0.000305122),	1131	
396	(0.000305122),	1548	
397	(0.000305893),	52	
397	(0.000305893),	350	
397	(0.000305893),	1162	
397	(0.000305893),	1623	
398	(0.000306663),	1326	
398	(0.000306663),	1610	
399	(0.000307434),	729	
400	(0.000308204),	60	
401	(0.000308975),	1256	
404	(0.000311286),	1323	
406	(0.000312827),	1337	
408	(0.000314368),	40	
409	(0.000315139),	1416	
409	(0.000315139),	1625	
410	(0.00031591),	1566	
411	(0.00031668),	90	
411	(0.00031668),	421	
411	(0.00031668),	1128	
412	(0.000317451),	747	
412	(0.000317451),	823	
412	(0.000317451),	1168	
412	(0.000317451),	1205	
413	(0.000318221),	776	
413	(0.000318221),	1598	
417	(0.000321303),	51	
417	(0.000321303),	787	
417	(0.000321303),	868	
418	(0.000322074),	314	
418	(0.000322074),	628	
419	(0.000322844),	133	
419	(0.000322844),	961	
420	(0.000323615),	178	
420	(0.000323615),	374	
420	(0.000323615),	667	
421	(0.000324385),	655	
422	(0.000325156),	1059	
422	(0.000325156),	1361	
422	(0.000325156),	1543	
423	(0.000325926),	1061	
424	(0.000326697),	214	
425	(0.000327467),	1310	
426	(0.000328238),	1580	
427	(0.000329008),	1344	
428	(0.000329779),	772	
428	(0.000329779),	1484	
428	(0.000329779),	1564	
430	(0.00033132),	1389	
431	(0.00033209),	531	
431	(0.00033209),	1155	
432	(0.000332861),	1645	
433	(0.000333631),	248	
433	(0.000333631),	460	
433	(0.000333631),	789	
435	(0.000335172),	615	
435	(0.000335172),	654	
435	(0.000335172),	665	
435	(0.000335172),	1185	
435	(0.000335172),	1369	
436	(0.000335943),	263	
437	(0.000336713),	126	
437	(0.000336713),	391	
437	(0.000336713),	579	
437	(0.000336713),	1336	
437	(0.000336713),	1396	
438	(0.000337484),	347	
439	(0.000338254),	267	
439	(0.000338254),	425	
439	(0.000338254),	1036	
440	(0.000339025),	811	
440	(0.000339025),	1591	
441	(0.000339795),	587	
441	(0.000339795),	1630	
444	(0.000342107),	212	
444	(0.000342107),	500	
444	(0.000342107),	1017	
445	(0.000342877),	1606	
446	(0.000343648),	305	
446	(0.000343648),	1459	
447	(0.000344418),	676	
448	(0.000345189),	1381	
449	(0.000345959),	561	
450	(0.00034673),	606	
450	(0.00034673),	1309	
450	(0.00034673),	1513	
451	(0.0003475),	38	
451	(0.0003475),	194	
452	(0.000348271),	399	
452	(0.000348271),	405	
452	(0.000348271),	857	
452	(0.000348271),	1078	
453	(0.000349041),	83	
454	(0.000349812),	139	
454	(0.000349812),	195	
455	(0.000350583),	760	
456	(0.000351353),	1052	
456	(0.000351353),	1436	
457	(0.000352124),	1264	
458	(0.000352894),	402	
460	(0.000354435),	792	
460	(0.000354435),	833	
461	(0.000355206),	1442	
461	(0.000355206),	1563	
462	(0.000355976),	1534	
463	(0.000356747),	362	
463	(0.000356747),	563	
463	(0.000356747),	855	
463	(0.000356747),	1117	
463	(0.000356747),	1406	
463	(0.000356747),	1588	
465	(0.000358288),	309	
465	(0.000358288),	547	
465	(0.000358288),	1217	
467	(0.000359829),	1335	
468	(0.000360599),	35	
468	(0.000360599),	213	
468	(0.000360599),	348	
468	(0.000360599),	950	
469	(0.00036137),	987	
470	(0.00036214),	12	
470	(0.00036214),	124	
470	(0.00036214),	308	
472	(0.000363681),	736	
473	(0.000364452),	1047	
474	(0.000365222),	575	
474	(0.000365222),	1094	
474	(0.000365222),	1286	
475	(0.000365993),	210	
475	(0.000365993),	509	
475	(0.000365993),	1453	
476	(0.000366763),	98	
476	(0.000366763),	207	
477	(0.000367534),	1093	
478	(0.000368304),	954	
478	(0.000368304),	1600	
479	(0.000369075),	856	
480	(0.000369845),	1607	
481	(0.000370616),	19	
481	(0.000370616),	104	
483	(0.000372157),	118	
483	(0.000372157),	559	
484	(0.000372927),	451	
485	(0.000373698),	726	
485	(0.000373698),	1133	
485	(0.000373698),	1246	
486	(0.000374468),	168	
486	(0.000374468),	1530	
